"X","Y"
8.3444387,48.7392081
8.3443899,48.7390717
8.3443756,48.7390021
8.3443752,48.7389315
8.3443893,48.7388615
8.3444159,48.7387931
8.3444627,48.7387104
8.3445192,48.7386304
8.3446802,48.738427
8.3448071,48.7382532
8.3448589,48.7381923
8.3449179,48.7381358
8.3450345,48.7380465
8.3451634,48.7379649
8.3452679,48.7379104
8.3454418,48.7378292
8.3456495,48.7377166
8.3462621,48.7373669
8.3464116,48.7372663
8.3467685,48.7370539
8.3468981,48.7369659
8.3471082,48.7368078
8.3472535,48.736706
8.3474225,48.7365717
8.3475154,48.7365096
8.3475847,48.7364561
8.3478293,48.7362474
8.3481622,48.735977
8.3482861,48.7358637
8.3485354,48.735616
8.3486306,48.7355296
8.3487064,48.7354609
8.3491107,48.7351143
8.3493979,48.7348808
8.3494936,48.7347957
8.3496046,48.7346751
8.3498443,48.7343797
8.3500774,48.7341252
8.3501474,48.7340304
8.3502035,48.7339292
8.3503066,48.7337126
8.3505036,48.7333543
8.3506092,48.733177
8.3510162,48.7326355
8.3511151,48.7325332
8.3512366,48.7324191
8.3513663,48.7323084
8.3515388,48.7321757
8.3518013,48.7320267
8.3520365,48.7319114
8.3521721,48.7318545
8.3523371,48.7317957
8.3530201,48.7315909
8.3534943,48.7314383
8.3539901,48.7312682
8.3542013,48.7311919
8.3544309,48.7311015
8.3546083,48.7310225
8.3547957,48.730931
8.3548948,48.7308764
8.3549684,48.7308287
8.3550364,48.7307752
8.3551131,48.7307032
8.3551954,48.7306126
8.3552823,48.7305048
8.3553354,48.7304249
8.3553688,48.7303587
8.355393,48.7302894
8.35541,48.7302188
8.3554181,48.7301476
8.3554166,48.730094
8.3554069,48.7300408
8.3553863,48.7299888
8.3553546,48.7299394
8.3553147,48.7298925
8.3552031,48.7297911
8.3550274,48.7296571
8.3549311,48.7295985
8.3547285,48.7294889
8.354631,48.7294312
8.3544439,48.7293056
8.3542994,48.7292015
8.3542149,48.7291331
8.3541234,48.7290461
8.3540721,48.7289841
8.3540466,48.7289532
8.3539829,48.7288564
8.3539666,48.7288263
8.3539469,48.7287901
8.3537076,48.7282838
8.3536359,48.7281131
8.3535797,48.7279581
8.35349,48.7276444
8.3533924,48.7273414
8.353347,48.7271716
8.3533032,48.7269665
8.3532861,48.7267963
8.3532859,48.7264701
8.3532966,48.7263315
8.3533143,48.7262113
8.3533483,48.7260584
8.3534522,48.7256637
8.353493,48.7255415
8.3535398,48.7254388
8.353589,48.7253607
8.3536892,48.7252235
8.3537003,48.7252083
8.3538148,48.7250326
8.353941,48.7248229
8.35407,48.7245804
8.3541329,48.7244833
8.3542027,48.7243876
8.3543837,48.7241706
8.354788,48.7237325
8.3549052,48.723614
8.3550172,48.7235148
8.355161,48.7234101
8.3553025,48.7233295
8.3554984,48.723238
8.3557061,48.7231586
8.3559913,48.7230696
8.3561879,48.7230221
8.3563662,48.7229949
8.3565231,48.7229868
8.3566281,48.7229886
8.3567588,48.7229969
8.3570696,48.7230337
8.3573283,48.7230797
8.3575545,48.7231351
8.3577241,48.7231881
8.3578396,48.7232331
8.3579479,48.7232853
8.3581956,48.723421
8.358302,48.7234749
8.3585919,48.7236015
8.3587351,48.7236568
8.3587993,48.7236816
8.3589688,48.7237336
8.3590217,48.7237455
8.3590549,48.723753
8.359146,48.7237735
8.3593016,48.7237998
8.3594623,48.723819
8.3595123,48.7238249
8.3595784,48.7238295
8.3596555,48.723835
8.3596981,48.7238379
8.3598569,48.7238411
8.3600952,48.7238392
8.3604128,48.723831
8.3604129,48.723831
8.3605085,48.7244947
8.3606992,48.7248491
8.360911,48.7251348
8.3616267,48.7254114
8.3622608,48.7256188
8.3627748,48.7255808
8.363012,48.7255074
8.3632806,48.7253798
8.3635853,48.7251667
8.3640006,48.7249811
8.3645229,48.7245984
8.3650325,48.7245129
8.3654082,48.7244402
8.3659024,48.724341
8.3670219,48.7243336
8.367359,48.7244781
8.3678401,48.7245861
8.3681932,48.7246029
8.3685869,48.7245965
8.3689503,48.7245276
8.3696095,48.7243749
8.3699481,48.724404
8.3701951,48.7243646
8.3704538,48.7242097
8.3703858,48.7238967
8.3702961,48.7236788
8.3701926,48.7233843
8.3700363,48.723093
8.3699372,48.7228071
8.3699919,48.7225424
8.3700769,48.7223118
8.3703406,48.7221257
8.3705616,48.721966
8.3706899,48.7217444
8.371154,48.7215839
8.3716881,48.7214371
8.3719674,48.7214184
8.3722555,48.7213724
8.3725342,48.7212584
8.372762,48.7211102
8.3728398,48.7209183
8.3730314,48.7205607
8.3730666,48.7203218
8.373247,48.7200936
8.373827,48.7201424
8.3740721,48.7201523
8.3743487,48.7202135
8.3745675,48.720266
8.3748728,48.7203615
8.3751816,48.7204358
8.3753553,48.7204709
8.3756141,48.7204125
8.3757955,48.7203537
8.3761646,48.720249
8.3762618,48.7202196
8.3764107,48.7201735
8.3765209,48.7201314
8.3766959,48.7200726
8.3768317,48.7200434
8.3770068,48.7199718
8.3771169,48.7199425
8.3772271,48.7199004
