"ID","X","Y"
"3464/5421",8.52127001072476,48.9343781532134
"3464/5421",8.52135585694549,48.9253863508207
"3464/5422",8.52127001072476,48.9343781532134
"3464/5422",8.50762197947787,48.9343207733885
"3464/5422",8.50753363908611,48.9433125435403
"3464/5422",8.52118412192127,48.9433699414287
"3464/5422",8.52127001072476,48.9343781532134
"3464/5423",8.52118412192127,48.9433699414287
"3464/5423",8.50753363908611,48.9433125435403
"3464/5423",8.50744525486822,48.952304299509
"3464/5423",8.52109819050787,48.9523617154674
"3464/5423",8.52118412192127,48.9433699414287
"3464/5424",8.52109819050787,48.9523617154674
"3464/5424",8.50744525486822,48.952304299509
"3464/5424",8.50735682679628,48.9612960412951
"3464/5424",8.52101221645738,48.96135347533
"3464/5424",8.52109819050787,48.9523617154674
"3464/5425",8.52101221645738,48.96135347533
"3464/5425",8.50735682679628,48.9612960412951
"3464/5425",8.5072683548423,48.9702877688992
"3464/5425",8.52092619974261,48.970345221017
"3464/5425",8.52101221645738,48.96135347533
"3464/5426",8.52092619974261,48.970345221017
"3464/5426",8.5072683548423,48.9702877688992
"3464/5426",8.50717983897829,48.979279482322
"3464/5426",8.52084014033633,48.9793369525292
"3464/5426",8.52092619974261,48.970345221017
"3464/5427",8.52084014033633,48.9793369525292
"3464/5427",8.50717983897829,48.979279482322
"3464/5427",8.50709127917623,48.9882711815639
"3464/5427",8.52075403821131,48.988328669867
"3464/5427",8.52084014033633,48.9793369525292
"3464/5428",8.52075403821131,48.988328669867
"3464/5428",8.50709127917623,48.9882711815639
"3464/5428",8.50700267540807,48.9972628666257
"3464/5428",8.52066789334028,48.9973203730311
"3464/5428",8.52075403821131,48.988328669867
"3464/5429",8.52066789334028,48.9973203730311
"3464/5429",8.50700267540807,48.9972628666257
"3464/5429",8.50691402764574,49.0062545375078
"3464/5429",8.52058170569594,49.006312062022
"3464/5429",8.52066789334028,48.9973203730311
"3464/5430",8.52058170569594,49.006312062022
"3464/5430",8.50691402764574,49.0062545375078
"3464/5430",8.50682533586115,49.015246194211
"3464/5430",8.52049547525097,49.0153037368405
"3464/5430",8.52058170569594,49.006312062022
"3464/5431",8.52049547525097,49.0153037368405
"3464/5431",8.50682533586115,49.015246194211
"3464/5431",8.50673660002617,49.0242378367357
"3464/5431",8.52040920197804,49.024295397487
"3464/5431",8.52049547525097,49.0153037368405
"3464/5432",8.52040920197804,49.024295397487
"3464/5432",8.50673660002617,49.0242378367357
